Office Name,PIN Code,Office Type,Delivery Status,Division,Region,Circle,Taluk,District,State
"Ahmedabad GPO","380001","H.O","Delivery","Ahmedabad","Ahmedabad","Gujarat","Ahmedabad","AHMEDABAD","GUJARAT"
"Maninagar","380008","S.O","Delivery","Ahmedabad","Ahmedabad","Gujarat","Ahmedabad","AHMEDABAD","GUJARAT"
"Navrangpura","380009","S.O","Delivery","Ahmedabad","Ahmedabad","Gujarat","Ahmedabad","AHMEDABAD","GUJARAT"
"Satellite","380015","S.O","Delivery","Ahmedabad","Ahmedabad","Gujarat","Ahmedabad","AHMEDABAD","GUJARAT"
"Bopal","380058","B.O","Delivery","Ahmedabad","Ahmedabad","Gujarat","DASKROI","AHMEDABAD","GUJARAT"
"Sanand","382110","S.O","Delivery","Ahmedabad","Ahmedabad","Gujarat","SANAND","AHMEDABAD","GUJARAT"
"Daskroi","382425","B.O","Non-Delivery","Ahmedabad","Ahmedabad","Gujarat","DASKROI","AHMEDABAD","GUJARAT"
"Gandhinagar HO","382010","H.O","Delivery","Gandhinagar","Ahmedabad","Gujarat","Gandhinagar","GANDHINAGAR","GUJARAT"
"Infocity","382007","B.O","Non-Delivery","Gandhinagar","Ahmedabad","Gujarat","Gandhinagar","GANDHINAGAR","GUJARAT"
"Surat GPO","395001","H.O","Delivery","Surat","Surat","Gujarat","Surat City","SURAT","GUJARAT"
"Varachha","395006","S.O","Delivery","Surat","Surat","Gujarat","Surat City","SURAT","GUJARAT"
"Adajan","395009","S.O","Delivery","Surat","Surat","Gujarat","Surat City","SURAT","GUJARAT"
"Rajkot GPO","360001","H.O","Delivery","Rajkot","Rajkot","Gujarat","Rajkot","RAJKOT","GUJARAT"
"Vadodara GPO","390001","H.O","Delivery","Vadodara","Vadodara","Gujarat","Vadodara","VADODARA","GUJARAT"
"Alkapuri","390007","S.O","Delivery","Vadodara","Vadodara","Gujarat","Vadodara","VADODARA","GUJARAT"
"Bhavnagar HO","364001","H.O","Delivery","Bhavnagar","Rajkot","Gujarat","Bhavnagar","BHAVNAGAR","GUJARAT"
"Junagadh HO","362001","H.O","Delivery","Junagadh","Rajkot","Gujarat","Junagadh","JUNAGADH","GUJARAT"
"Jamnagar HO","361001","H.O","Delivery","Jamnagar","Rajkot","Gujarat","Jamnagar","JAMNAGAR","GUJARAT"
"Mehsana HO","384001","H.O","Delivery","Mehsana","Ahmedabad","Gujarat","Mehsana","MEHSANA","GUJARAT"
"Anand HO","388001","H.O","Delivery","Anand","Vadodara","Gujarat","Anand","ANAND","GUJARAT"
"Mumbai GPO","400001","H.O","Delivery","Mumbai","Mumbai","Maharashtra","Mumbai","MUMBAI","MAHARASHTRA"
"Andheri","400058","S.O","Delivery","Mumbai","Mumbai","Maharashtra","Andheri","MUMBAI","MAHARASHTRA"
"Bandra","400050","S.O","Delivery","Mumbai","Mumbai","Maharashtra","Bandra","MUMBAI","MAHARASHTRA"
"Borivali","400066","S.O","Delivery","Mumbai","Mumbai","Maharashtra","Borivali","MUMBAI","MAHARASHTRA"
"Dadar","400014","S.O","Delivery","Mumbai","Mumbai","Maharashtra","Dadar","MUMBAI","MAHARASHTRA"
"Powai","400076","S.O","Non-Delivery","Mumbai","Mumbai","Maharashtra","Andheri","MUMBAI","MAHARASHTRA"
"Pune GPO","411001","H.O","Delivery","Pune","Pune","Maharashtra","Pune City","PUNE","MAHARASHTRA"
"Kothrud","411038","S.O","Delivery","Pune","Pune","Maharashtra","Pune City","PUNE","MAHARASHTRA"
"Hinjewadi","411057","S.O","Delivery","Pune","Pune","Maharashtra","Mulshi","PUNE","MAHARASHTRA"
"Wakad","411057","B.O","Non-Delivery","Pune","Pune","Maharashtra","Mulshi","PUNE","MAHARASHTRA"
"Nagpur GPO","440001","H.O","Delivery","Nagpur","Nagpur","Maharashtra","Nagpur","NAGPUR","MAHARASHTRA"
"Nashik HO","422001","H.O","Delivery","Nashik","Nashik","Maharashtra","Nashik","NASHIK","MAHARASHTRA"
"Aurangabad HO","431001","H.O","Delivery","Aurangabad","Aurangabad","Maharashtra","Aurangabad","AURANGABAD","MAHARASHTRA"
"Thane HO","400601","H.O","Delivery","Thane","Mumbai","Maharashtra","Thane","THANE","MAHARASHTRA"
"Navi Mumbai","400703","S.O","Delivery","Thane","Mumbai","Maharashtra","Panvel","THANE","MAHARASHTRA"
